,vairable,coefficients,
1,(Intercept),-265.6788574,-265.6788574
2,age,-2.123394597, + -2.12339459651383 * this.age
3,height,1.914305151, + 1.91430515148756 * this.height
4,hip,6.016639576, + 6.01663957609277 * this.hip
5,wrist,-11.86123052, + -11.8612305220359 * this.wrist
6,age * this.weight,-0.004346236, + -0.00434623624586747 * this.age * this.weight
7,age * this.height,0.004495478, + 0.00449547810552599 * this.age * this.height
8,age * this.wrist,0.101111653, + 0.101111652794227 * this.age * this.wrist
9,height * this.weight,0.009689066, + 0.0096890658695616 * this.height * this.weight
10,weight * this.chest,-0.0089881, + -0.00898809988786118 * this.weight * this.chest
11,height * this.hip,-0.033083467, + -0.0330834666299174 * this.height * this.hip
12,wrist * this.chest,0.040452698, + 0.0404526981928006 * this.wrist * this.chest
,,,
,-265.678857389526 + -2.12339459651383 * this.age + 1.91430515148756 * this.height + 6.01663957609277 * this.hip + -11.8612305220359 * this.wrist + -0.00434623624586747 * this.age * this.weight + 0.00449547810552599 * this.age * this.height + 0.101111652794227 * this.age * this.wrist + 0.0096890658695616 * this.height * this.weight + -0.00898809988786118 * this.weight * this.chest + -0.0330834666299174 * this.height * this.hip + 0.0404526981928006 * this.wrist * this.chest,,
